equipment_id,line,direction,station
EL282,N,south,57 St - 7 Av
EL282,Q,south,57 St - 7 Av
EL282,W,south,57 St - 7 Av
EL283,N,north,57 St - 7 Av
EL283,Q,north,57 St - 7 Av
EL283,R,north,57 St - 7 Av
EL283,W,north,57 St - 7 Av
EL285,6,north,68 St / Hunter College
EL286,6,south,68 St / Hunter College
EL289X,A,south,42 St - Port Authority Bus Terminal
EL289X,C,south,42 St - Port Authority Bus Terminal
EL289X,E,north,42 St - Port Authority Bus Terminal
EL289X,A,north,42 St - Port Authority Bus Terminal
EL289X,C,north,42 St - Port Authority Bus Terminal
EL289X,E,south,42 St - Port Authority Bus Terminal
EL290X,E,north,42 St - Port Authority Bus Terminal
EL290X,E,south,42 St - Port Authority Bus Terminal
EL290X,C,north,42 St - Port Authority Bus Terminal
EL290X,C,south,42 St - Port Authority Bus Terminal
EL290X,A,south,42 St - Port Authority Bus Terminal
EL290X,A,north,42 St - Port Authority Bus Terminal
EL298,6,north,23 St
EL299,6,south,23 St
EL300X,2,manhattan,Atlantic Av-Barclays Ctr
EL300X,3,manhattan,Atlantic Av-Barclays Ctr
EL302,N,bay ridge,Atlantic Av-Barclays Ctr
EL302,D,bay ridge,Atlantic Av-Barclays Ctr
EL302,R,bay ridge,Atlantic Av-Barclays Ctr
EL303,D,manhattan,Atlantic Av-Barclays Ctr
EL303,N,manhattan,Atlantic Av-Barclays Ctr
EL303,R,manhattan,Atlantic Av-Barclays Ctr
EL305,4,north,Atlantic Av-Barclays Ctr
EL305,4,south,Atlantic Av-Barclays Ctr
EL305,5,north,Atlantic Av-Barclays Ctr
EL305,5,south,Atlantic Av-Barclays Ctr
EL306,3,manhattan,Atlantic Av-Barclays Ctr
EL306,2,manhattan,Atlantic Av-Barclays Ctr
EL307,Q,north,Atlantic Av-Barclays Ctr
EL307,Q,south,Atlantic Av-Barclays Ctr
EL307,B,north,Atlantic Av-Barclays Ctr
EL307,B,south,Atlantic Av-Barclays Ctr
EL315,5,south,Brooklyn Bridge - City Hall
EL315,6,south,Brooklyn Bridge - City Hall
EL315,4,south,Brooklyn Bridge - City Hall
EL316,5,north,Brooklyn Bridge - City Hall
EL316,6,north,Brooklyn Bridge - City Hall
EL316,4,north,Brooklyn Bridge - City Hall
EL318,3,south,Borough Hall
EL318,2,north,Borough Hall
EL318,3,north,Borough Hall
EL318,2,south,Borough Hall
EL319,2,north,Flatbush Av Brooklyn College
EL319,5,north,Flatbush Av Brooklyn College
EL319,2,south,Flatbush Av Brooklyn College
EL319,5,south,Flatbush Av Brooklyn College
EL320,5,manhattan,Church Av
EL320,2,manhattan,Church Av
EL321,2,flatbush av brooklyn college,Church Av
EL321,5,flatbush av brooklyn college,Church Av
EL323,3,south,Crown Hts - Utica Av
EL323,4,south,Crown Hts - Utica Av
EL323,4,north,Crown Hts - Utica Av
EL323,3,north,Crown Hts - Utica Av
EL324,6,north,Canal St
EL325,6,south,Canal St
EL328,6,south,Broadway-Lafayette/Bleecker St
EL329,F,north,Broadway-Lafayette/Bleecker St
EL329,D,north,Broadway-Lafayette/Bleecker St
EL329,B,north,Broadway-Lafayette/Bleecker St
EL329,6,south,Broadway-Lafayette/Bleecker St
EL329,M,north,Broadway-Lafayette/Bleecker St
EL330,M,south,Broadway-Lafayette/Bleecker St
EL330,D,south,Broadway-Lafayette/Bleecker St
EL330,6,south,Broadway-Lafayette/Bleecker St
EL330,F,south,Broadway-Lafayette/Bleecker St
EL330,B,south,Broadway-Lafayette/Bleecker St
EL331,M,north,Broadway-Lafayette/Bleecker St
EL331,F,north,Broadway-Lafayette/Bleecker St
EL331,6,north,Broadway-Lafayette/Bleecker St
EL331,B,north,Broadway-Lafayette/Bleecker St
EL331,D,north,Broadway-Lafayette/Bleecker St
EL332,B,south,Broadway-Lafayette/Bleecker St
EL332,F,south,Broadway-Lafayette/Bleecker St
EL332,D,south,Broadway-Lafayette/Bleecker St
EL332,M,south,Broadway-Lafayette/Bleecker St
EL332,6,north,Broadway-Lafayette/Bleecker St
EL334,B,south,West 4 St - Washington Sq
EL334,D,south,West 4 St - Washington Sq
EL334,A,south,West 4 St - Washington Sq
EL334,E,south,West 4 St - Washington Sq
EL334,M,south,West 4 St - Washington Sq
EL334,F,south,West 4 St - Washington Sq
EL334,C,south,West 4 St - Washington Sq
EL335,M,north,West 4 St - Washington Sq
EL335,C,north,West 4 St - Washington Sq
EL335,E,north,West 4 St - Washington Sq
EL335,B,north,West 4 St - Washington Sq
EL335,D,north,West 4 St - Washington Sq
EL335,A,north,West 4 St - Washington Sq
EL335,F,north,West 4 St - Washington Sq
EL337,1,north,Chambers St
EL337,3,north,Chambers St
EL337,2,north,Chambers St
EL338,1,south,Chambers St
EL338,2,south,Chambers St
EL338,3,south,Chambers St
EL340,C,south,Franklin Av
EL342,A,north,Euclid Av
EL342,C,north,Euclid Av
EL343,A,south,Euclid Av
EL343,C,south,Euclid Av
EL345,C,north,Utica Av
EL345,A,north,Utica Av
EL346,C,south,Utica Av
EL346,A,south,Utica Av
EL371,R,manhattan,Dekalb Av
EL371,B,manhattan,Dekalb Av
EL371,Q,manhattan,Dekalb Av
EL372,Q,"brighton beach, coney island, bay ridge",Dekalb Av
EL372,R,"brighton beach, coney island, bay ridge",Dekalb Av
EL372,B,"brighton beach, coney island, bay ridge",Dekalb Av
EL374,G,manhattan,Church Av
EL374,F,manhattan,Church Av
EL375,F,coney island,Church Av
EL375,G,coney island,Church Av
EL377,D,manhattan,Bay Parkway
EL378,D,coney island,Bay Parkway
EL382,B,manhattan,Prospect Park
EL382,Q,manhattan,Prospect Park
EL383,B,"coney island, brighton beach",Prospect Park
EL383,Q,"coney island, brighton beach",Prospect Park
EL391,J,jamaica center,Marcy Av
EL391,M,jamaica center,Marcy Av
EL391,Z,jamaica center,Marcy Av
EL392,J,manhattan,Marcy Av
EL392,Z,manhattan,Marcy Av
EL392,M,manhattan,Marcy Av
EL394,M,manhattan,Flushing Av
EL394,J,manhattan,Flushing Av
EL395,J,jamaica center,Flushing Av
EL395,M,jamaica center,Flushing Av
EL397,M,north,Myrtle Av / Wyckoff Av
EL397,M,south,Myrtle Av / Wyckoff Av
EL397,L,north,Myrtle Av / Wyckoff Av
EL397,L,south,Myrtle Av / Wyckoff Av
EL398,M,north,Myrtle Av / Wyckoff Av
EL398,L,north,Myrtle Av / Wyckoff Av
EL398,M,south,Myrtle Av / Wyckoff Av
EL398,L,south,Myrtle Av / Wyckoff Av
EL402,F,north,Lexington Av / 63 St
EL402,Q,north,Lexington Av / 63 St
EL402,Q,south,Lexington Av / 63 St
EL402,F,south,Lexington Av / 63 St
EL403,F,south,Roosevelt Island
EL404,F,jamaica,Roosevelt Island
EL406,F,manhattan,21 St - Queensbridge
EL407,F,jamaica,21 St - Queensbridge
EL408,E,south,Jamaica - Van Wyck
EL408,E,north,Jamaica - Van Wyck
EL411,J,south,Sutphin Blvd - Archer Av - JFK Airport
EL411,E,south,Sutphin Blvd - Archer Av - JFK Airport
EL411,LIRR,south,Sutphin Blvd - Archer Av - JFK Airport
EL411,LIRR,north,Sutphin Blvd - Archer Av - JFK Airport
EL411,J,north,Sutphin Blvd - Archer Av - JFK Airport
EL411,E,north,Sutphin Blvd - Archer Av - JFK Airport
EL411,Z,south,Sutphin Blvd - Archer Av - JFK Airport
EL411,Z,north,Sutphin Blvd - Archer Av - JFK Airport
EL413,J,north,Jamaica Center Parsons/Archer
EL413,J,south,Jamaica Center Parsons/Archer
EL413,Z,south,Jamaica Center Parsons/Archer
EL413,E,north,Jamaica Center Parsons/Archer
EL413,Z,north,Jamaica Center Parsons/Archer
EL413,E,south,Jamaica Center Parsons/Archer
EL414,7,north,Flushing Main St
EL414,7,south,Flushing Main St
EL416X,7,manhattan,61 St - Woodside
EL417X,7,flushing main st,61 St - Woodside
EL421,F,manhattan,Jackson Hts - Roosevelt Av
EL421,M,manhattan,Jackson Hts - Roosevelt Av
EL421,R,manhattan,Jackson Hts - Roosevelt Av
EL421,E,manhattan,Jackson Hts - Roosevelt Av
EL422,R,north,Jackson Hts - Roosevelt Av
EL422,F,north,Jackson Hts - Roosevelt Av
EL422,E,south,Jackson Hts - Roosevelt Av
EL422,E,north,Jackson Hts - Roosevelt Av
EL422,F,south,Jackson Hts - Roosevelt Av
EL422,7,north,Jackson Hts - Roosevelt Av
EL422,M,south,Jackson Hts - Roosevelt Av
EL422,R,south,Jackson Hts - Roosevelt Av
EL422,M,north,Jackson Hts - Roosevelt Av
EL422,7,south,Jackson Hts - Roosevelt Av
EL423,7,manhattan,74 St - Broadway / Roosevelt Av
EL426,7,manhattan,Junction Blvd
EL427,7,flushing,Junction Blvd
EL429,M,manhattan,Queens Plaza
EL429,R,manhattan,Queens Plaza
EL429,E,manhattan,Queens Plaza
EL430,R,"jamaica, forest hills",Queens Plaza
EL430,M,"jamaica, forest hills",Queens Plaza
EL430,E,"jamaica, forest hills",Queens Plaza
EL432,F,manhattan,179 St - Jamaica
EL433,F,manhattan,179 St - Jamaica
EL435,F,jamaica,Kew Gardens / Union Tpk
EL435,E,jamaica,Kew Gardens / Union Tpk
EL436,E,manhattan,Kew Gardens / Union Tpk
EL436,F,manhattan,Kew Gardens / Union Tpk
EL438,M,jamaica,Forest Hills - 71 Av
EL438,R,jamaica,Forest Hills - 71 Av
EL438,E,jamaica,Forest Hills - 71 Av
EL438,F,jamaica,Forest Hills - 71 Av
EL438,LIRR,jamaica,Forest Hills - 71 Av
EL439,M,manhattan,Forest Hills - 71 Av
EL439,LIRR,manhattan,Forest Hills - 71 Av
EL439,F,manhattan,Forest Hills - 71 Av
EL439,R,manhattan,Forest Hills - 71 Av
EL439,E,manhattan,Forest Hills - 71 Av
EL440,Q,north,Lexington Av / 63 St
EL440,F,north,Lexington Av / 63 St
EL440,F,south,Lexington Av / 63 St
EL440,Q,south,Lexington Av / 63 St
EL441,Q,south,Lexington Av / 63 St
EL441,Q,north,Lexington Av / 63 St
EL441,F,north,Lexington Av / 63 St
EL441,F,south,Lexington Av / 63 St
EL442,Q,south,Lexington Av / 63 St
EL442,F,south,Lexington Av / 63 St
EL442,Q,north,Lexington Av / 63 St
EL442,F,north,Lexington Av / 63 St
EL443,Q,south,Lexington Av / 63 St
EL443,F,south,Lexington Av / 63 St
EL443,F,north,Lexington Av / 63 St
EL443,Q,north,Lexington Av / 63 St
EL445X,7,south,Court Square
EL445X,7,north,Court Square
EL447,7,manhattan-bound,Court Square
EL463,A,south,Ozone Park / Lefferts Blvd
EL463,A,north,Ozone Park / Lefferts Blvd
EL489X,A,manhattan,Aqueduct Racetrack
EL492X,A,far rockaway,Howard Beach
EL493X,A,south,Howard Beach
EL494X,A,north,Howard Beach
EL495X,A,north,Howard Beach
EL497,A,north,Far Rockaway - Mott Av
EL497,A,south,Far Rockaway - Mott Av
EL498,A,north,Far Rockaway - Mott Av
EL498,A,south,Far Rockaway - Mott Av
EL501,B,north,Bedford Park Blvd/Grand Concourse Line
EL501,D,north,Bedford Park Blvd/Grand Concourse Line
EL502,D,south,Bedford Park Blvd/Grand Concourse Line
EL502,B,south,Bedford Park Blvd/Grand Concourse Line
EL600,7,south,34 St - Hudson Yards
EL600,7,north,34 St - Hudson Yards
EL700X,3,manhattan,Atlantic Av-Barclays Ctr
EL700X,2,manhattan,Atlantic Av-Barclays Ctr
EL701,N,north,Coney Island Stillwell Av
EL701,N,south,Coney Island Stillwell Av
EL702,N,south,Coney Island Stillwell Av
EL702,N,north,Coney Island Stillwell Av
EL707,F,south,Jay St - MetroTech
EL707,F,north,Jay St - MetroTech
EL707,C,south,Jay St - MetroTech
EL707,A,south,Jay St - MetroTech
EL707,A,north,Jay St - MetroTech
EL707,C,north,Jay St - MetroTech
EL708,A,north,Jay St - MetroTech
EL708,R,south,Jay St - MetroTech
EL708,A,south,Jay St - MetroTech
EL708,R,north,Jay St - MetroTech
EL708,F,north,Jay St - MetroTech
EL708,C,north,Jay St - MetroTech
EL708,F,south,Jay St - MetroTech
EL708,C,south,Jay St - MetroTech
EL709,A,south,Jay St - MetroTech
EL709,F,north,Jay St - MetroTech
EL709,R,north,Jay St - MetroTech
EL709,C,south,Jay St - MetroTech
EL709,R,south,Jay St - MetroTech
EL709,A,north,Jay St - MetroTech
EL709,F,south,Jay St - MetroTech
EL709,C,north,Jay St - MetroTech
EL711,4,south,Bowling Green
EL711,5,south,Bowling Green
EL712,1,north,WTC Cortlandt St
EL713,1,south,WTC Cortlandt St
EL716,5,north,Fulton St
EL716,4,north,Fulton St
EL717X,4,north,Fulton St
EL717X,5,north,Fulton St
EL718X,4,north,Fulton St
EL718X,5,north,Fulton St
EL719,C,south,Fulton St
EL719,A,north,Fulton St
EL719,C,north,Fulton St
EL719,A,south,Fulton St
EL720,C,south,Fulton St
EL720,A,north,Fulton St
EL720,J,north,Fulton St
EL720,A,south,Fulton St
EL720,C,north,Fulton St
EL720,Z,north,Fulton St
EL721,C,south,Fulton St
EL721,A,north,Fulton St
EL721,C,north,Fulton St
EL721,A,south,Fulton St
EL726X,R,south,Cortlandt St
EL726X,W,south,Cortlandt St
EL727X,R,north,Cortlandt St
EL727X,W,north,Cortlandt St
EL728X,5,south,Fulton St
EL728X,4,south,Fulton St
EL729X,5,north,Fulton St
EL729X,4,north,Fulton St
EL729X,5,south,Fulton St
EL729X,4,south,Fulton St
EL731,1,south,South Ferry
EL731,1,north,South Ferry
EL732,3,south,Fulton St
EL732,2,north,Fulton St
EL732,3,north,Fulton St
EL732,2,south,Fulton St
EL736,1,south,WTC Cortlandt St
EL737X,3,manhattan,Atlantic Av-Barclays Ctr
EL737X,2,manhattan,Atlantic Av-Barclays Ctr
EL738,N,north,New Utrecht
EL739,N,south,New Utrecht
EL740,D,north,New Utrecht
EL741,D,south,New Utrecht
EL742,J,north,Chambers St
EL742,Z,north,Chambers St
EL743,J,south,Chambers St
EL743,Z,south,Chambers St
EL760,Q,manhattan,Kings Highway
EL760,B,manhattan,Kings Highway
EL761,H,brighton beach/coney island,Kings Highway
EL761,C,brighton beach/coney island,Kings Highway
